publisher,name,version,copyright,dateAdded,estimatedReleaseData,license,distributed
"Douglas Christopher Wilson",serve-static,"1.14.2","Copyright (c) 2010 Sencha Inc.. Copyright (c) 2011 LearnBoost. Copyright (c) 2011 TJ Holowaychuk. Copyright (c) 2014-2016 Douglas Christopher Wilson","","",MIT,false
"Wes Todd",setprototypeof,"1.2.0","Copyright (c) 2015, Wes Todd","","",ISC,false
"Jimmy Cuadra",shellwords,"0.1.1","Copyright (C) 2011 by Jimmy Cuadra","","",MIT,false
"",statuses,"1.5.0","Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>. Copyright (c) 2016 Douglas Christopher Wilson <doug@somethingdoug.com>","","",MIT,false
"Douglas Christopher Wilson",toidentifier,"1.0.1","Copyright (c) 2016 Douglas Christopher Wilson <doug@somethingdoug.com>","","",MIT,false
"",type-is,"1.6.18","Copyright (c) 2014 Jonathan Ong <me@jongleberry.com>. Copyright (c) 2014-2015 Douglas Christopher Wilson <doug@somethingdoug.com>","","",MIT,false
"Jeremy Ashkenas",underscore,"1.12.1","Copyright (c) 2009-2020 Jeremy Ashkenas, DocumentCloud and Investigative. Reporters & Editors","","",MIT,false
"Douglas Christopher Wilson",unpipe,"1.0.0","Copyright (c) 2015 Douglas Christopher Wilson <doug@somethingdoug.com>","","",MIT,false
"Jared Hanson",utils-merge,"1.0.1","Copyright (c) 2013-2017 Jared Hanson","","",MIT,false
"",uuid,"8.3.2","Copyright (c) 2010-2020 Robert Kieffer and other contributors","","",MIT,false
"Douglas Christopher Wilson",vary,"1.1.2","Copyright (c) 2014-2017 Douglas Christopher Wilson","","",MIT,false
"Isaac Z. Schlueter",which,"2.0.2","Copyright (c) Isaac Z. Schlueter and Contributors","","",ISC,false
"Isaac Z. Schlueter",yallist,"4.0.0","Copyright (c) Isaac Z. Schlueter and Contributors","","",ISC,false
